HBM_CATMAN20_DATAFILE

27/05/04
17:41
CHANNELS: 3
SEPARATOR: 9
MAXLINES: 1020               

_CH1_Timebase	_CH2_Channel2	_CH3_Channel3
s	mm	mm
05/27/04-17:40:13	05/27/04-17:40:13	05/27/04-17:40:13
		

7.783	1.156	0.196
7.800	1.180	0.216
7.817	1.196	0.236
7.833	1.264	0.268
7.850	1.268	0.236
7.867	1.210	0.256
7.883	1.212	0.224
7.900	1.150	0.208
7.917	1.210	0.208
7.933	1.198	0.244
7.950	1.212	0.220
7.967	1.196	0.232
7.983	1.178	0.224
8.000	1.168	0.216
8.017	1.174	0.200
8.033	1.154	0.196
8.050	1.118	0.232
8.067	1.110	0.260
8.083	1.224	0.260
8.100	1.212	0.208
8.117	1.110	0.184
8.133	1.096	0.196
8.150	1.070	0.184
8.167	1.148	0.192
8.183	1.188	0.220
8.200	1.168	0.264
8.217	1.192	0.248
8.233	1.144	0.196
8.250	1.166	0.188
8.267	1.146	0.228
8.283	1.168	0.212
8.300	1.112	0.200
8.317	1.136	0.208
8.333	1.198	0.240
8.350	1.204	0.232
8.367	1.128	0.216
8.383	1.144	0.212
8.400	1.134	0.244
8.417	1.124	0.232
8.433	1.046	0.216
8.450	1.116	0.200
8.467	1.142	0.208
8.483	1.120	0.224
8.500	1.022	0.220
8.517	1.058	0.208
8.533	1.086	0.236
8.550	1.112	0.252
8.567	1.100	0.208
8.583	1.124	0.208
8.600	1.110	0.232
8.617	1.102	0.228
8.633	1.094	0.216
8.650	1.124	0.224
8.667	1.138	0.240
8.683	1.128	0.252
8.700	1.124	0.252
8.717	1.128	0.236
8.733	1.172	0.264
8.750	1.176	0.252
8.767	1.166	0.228
8.783	1.170	0.180
8.800	1.156	0.196
8.817	1.186	0.216
8.833	1.158	0.220
8.850	1.194	0.208
8.867	1.144	0.216
8.883	1.188	0.232
8.900	1.188	0.248
8.917	1.216	0.276
8.933	1.196	0.268
8.950	1.176	0.240
8.967	1.152	0.172
8.983	1.064	0.172
9.000	1.050	0.188
9.017	1.112	0.232
9.033	1.172	0.232
9.050	1.212	0.256
9.067	1.214	0.260
9.083	1.168	0.276
9.100	1.180	0.256
9.117	1.132	0.204
9.133	1.146	0.220
9.150	1.154	0.220
9.167	1.172	0.232
9.183	1.166	0.228
9.200	1.170	0.244
9.217	1.196	0.244
9.233	1.140	0.240
9.250	1.172	0.208
9.267	1.138	0.216
9.283	1.162	0.208
9.300	1.200	0.176
9.317	1.188	0.188
9.333	1.154	0.212
9.350	1.112	0.252
9.367	1.096	0.216
9.383	1.144	0.216
9.400	1.190	0.208
9.417	1.106	0.232
9.433	1.128	0.192
9.450	1.116	0.192
9.467	1.182	0.188
9.483	1.126	0.228
9.500	1.220	0.236
9.517	1.192	0.248
9.533	1.196	0.264
9.550	1.178	0.260
9.567	1.194	0.244
9.583	1.180	0.216
9.600	1.152	0.204
9.617	1.136	0.180
9.633	1.102	0.180
9.650	1.138	0.208
9.667	1.198	0.260
9.683	1.172	0.268
9.700	1.134	0.280
9.717	1.178	0.264
9.733	1.124	0.216
9.750	1.158	0.236
9.767	1.140	0.200
9.783	1.194	0.188
9.800	1.230	0.200
9.817	1.186	0.264
9.833	1.218	0.280
9.850	1.152	0.296
9.867	1.184	0.244
9.883	1.134	0.240
9.900	1.200	0.216
9.917	1.184	0.212
9.933	1.176	0.236
9.950	1.148	0.236
9.967	1.154	0.228
9.983	1.148	0.208
10.000	1.170	0.236
10.017	1.170	0.260
10.033	1.208	0.268
10.050	1.204	0.224
10.067	1.216	0.220
10.083	1.206	0.228
10.100	1.112	0.208
10.117	1.176	0.216
10.133	1.192	0.232
10.150	1.196	0.256
10.167	1.192	0.224
10.183	1.212	0.208
10.200	1.224	0.236
10.217	1.212	0.264
10.233	1.190	0.220
10.250	1.162	0.240
10.267	1.166	0.224
10.283	1.194	0.224
10.300	1.170	0.220
10.317	1.198	0.224
10.333	1.220	0.256
10.350	1.192	0.244
10.367	1.242	0.248
10.383	1.204	0.224
10.400	1.204	0.240
10.417	1.204	0.256
10.433	1.204	0.252
10.450	1.202	0.208
10.467	1.168	0.200
10.483	1.178	0.224
10.500	1.194	0.248
10.517	1.232	0.224
10.533	1.250	0.224
10.550	1.228	0.236
10.567	1.238	0.244
10.583	1.212	0.236
10.600	1.226	0.236
10.617	1.216	0.272
10.633	1.182	0.264
10.650	1.228	0.236
10.667	1.264	0.236
10.683	1.268	0.268
10.700	1.268	0.240
10.717	1.292	0.220
10.733	1.304	0.228
10.750	1.276	0.248
10.767	1.320	0.260
10.783	1.314	0.252
10.800	1.270	0.240
10.817	1.192	0.252
10.833	1.240	0.256
10.850	1.310	0.220
10.867	1.280	0.224
10.883	1.200	0.252
10.900	1.218	0.272
10.917	1.250	0.244
10.933	1.234	0.228
10.950	1.192	0.216
10.967	1.178	0.252
10.983	1.204	0.244
11.000	1.262	0.244
11.017	1.224	0.260
11.033	1.178	0.284
11.050	1.166	0.260
11.067	1.164	0.244
11.083	1.186	0.228
11.100	1.220	0.248
11.117	1.184	0.268
11.133	1.208	0.272
11.150	1.224	0.272
11.167	1.198	0.256
11.183	1.130	0.220
11.200	1.160	0.208
11.217	1.144	0.224
11.233	1.170	0.256
11.250	1.160	0.248
11.267	1.146	0.224
11.283	1.118	0.224
11.300	1.122	0.232
11.317	1.160	0.200
11.333	1.192	0.216
11.350	1.188	0.220
11.367	1.120	0.228
11.383	1.176	0.228
